21.031623, 105.836895	jouri-dessert-tea-5-khuc-hao								jouri-dessert-tea-5-khuc-hao,21.031623, 105.836895													
21.031394, 105.837985	villa-des-fleurs-42-tran-phu-hoa-cung-noel-2019								villa-des-fleurs-42-tran-phu-hoa-cung-noel-2019,21.031394, 105.837985													
21.030935, 105.853950	thu-bingsu-moi-vi-kem-cheese-tai-mr-wish-37-hang-dau								thu-bingsu-moi-vi-kem-cheese-tai-mr-wish-37-hang-dau,21.030935, 105.853950													
21.031052, 105.815004	pizza-capricciosa-vietnam-tang-3-vincom-lieu-giai								pizza-capricciosa-vietnam-tang-3-vincom-lieu-giai,21.031052, 105.815004													
21.068325, 105.823026	26-quan-cafe-dep-o-ha-noi-de-den-checkin								26-quan-cafe-dep-o-ha-noi-de-den-checkin,21.068325, 105.823026													
	goc-review-top-3-quan-cafe-ngoi-ngoai-cua								goc-review-top-3-quan-cafe-ngoi-ngoai-cua,													
21.036657, 105.846677	ca-phe-trung-dac-san-hang-ma-beo-min-dinh-cua-dinh								ca-phe-trung-dac-san-hang-ma-beo-min-dinh-cua-dinh,21.036657, 105.846677													
21.016802, 105.783687	nhat-dinh-phai-hen-ho-ca-cung-nham-nhi-tra-chieu-tai-khach-san-intercontinental-landmark72								nhat-dinh-phai-hen-ho-ca-cung-nham-nhi-tra-chieu-tai-khach-san-intercontinental-landmark72,21.016802, 105.783687													
21.032507, 105.808164	lau-thai-99k-bangkok-thai-kitchen-dao-tan								lau-thai-99k-bangkok-thai-kitchen-dao-tan,21.032507, 105.808164													
21.010366, 105.821115	backyard-coffee-so-33a-ngo-41-thai-ha								backyard-coffee-so-33a-ngo-41-thai-ha,21.010366, 105.821115													
21.033603, 105.854525	ha-noi-sang-he-roi-thu-sua-chua-hoa-qua-cafe-tuan-ngay-thoi								ha-noi-sang-he-roi-thu-sua-chua-hoa-qua-cafe-tuan-ngay-thoi,21.033603, 105.854525													
21.048160, 105.842132	nuong-chuan-vi-hongkong-42g-yen-phu-vi-sao-lai-hot								nuong-chuan-vi-hongkong-42g-yen-phu-vi-sao-lai-hot,21.048160, 105.842132													
21.014837, 105.850518	totoro-87-trie%cc%a3u-vie%cc%a3t-vuong-an-vat-kieu-nhat								totoro-87-trie%cc%a3u-vie%cc%a3t-vuong-an-vat-kieu-nhat,21.014837, 105.850518													
21.032970, 105.802045	cafe-vintage-song-cham-lai-giua-long-thu-do								cafe-vintage-song-cham-lai-giua-long-thu-do,21.032970, 105.802045													
21.053784, 105.840534	my-van-than-ngon-bo%cc%89-re%cc%89-150-yen-phu%cc%a3nho%cc%89-tay-ho								my-van-than-ngon-bo%cc%89-re%cc%89-150-yen-phu%cc%a3nho%cc%89-tay-ho,21.053784, 105.840534													
21.030241, 105.844188	cafe-ga-dong-duong-5a-tran-phu-gan-hang-bong								cafe-ga-dong-duong-5a-tran-phu-gan-hang-bong,21.030241, 105.844188													
